                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.059168,               0.052169,               0.032913,               0.063982,                0.33882,               0.072905,               0.048195,               0.019973,                 0.3354,               0.066035,               0.042199,               0.016729,                0.06504,               0.039799,               0.016639,               0.065981,               0.009241,               0.009241,               0.009241
                     25,               0.057642,                0.05138,                0.03222,               0.063469,                0.42482,                0.10616,               0.049683,               0.019556,                0.43347,                0.10017,               0.048328,               0.020432,               0.065331,               0.038194,               0.017207,               0.065154,               0.009208,               0.009208,               0.009208
                     26,               0.057352,               0.050339,               0.032266,               0.062907,                0.34444,               0.090425,               0.042113,               0.016973,                0.35328,               0.096522,               0.049651,                0.02083,               0.064663,               0.037143,                0.01721,               0.064424,               0.009175,               0.009175,               0.009175
                     27,               0.057314,               0.049667,               0.032248,               0.062134,                0.39095,                0.10863,               0.068041,               0.029152,                0.39697,                0.10729,               0.065736,               0.029308,               0.062521,                0.03607,               0.016301,               0.064415,               0.009142,               0.009142,               0.009142
                     28,               0.056529,               0.048792,               0.031773,               0.060608,                0.39415,                0.13037,               0.068995,               0.029234,                0.40067,                0.12772,               0.068586,               0.030958,               0.062831,               0.037084,               0.017338,               0.064692,               0.009109,               0.009109,               0.009109
                     29,               0.056407,               0.048446,               0.031687,                0.06068,                0.35119,               0.094751,               0.059658,               0.024727,                0.35455,               0.090754,               0.059386,               0.025734,               0.064573,               0.038037,               0.016233,               0.064161,               0.009076,               0.009076,               0.009076
                     30,               0.055556,               0.047817,                0.03165,               0.060078,                0.40074,                0.14795,               0.083197,               0.037291,                0.40557,                0.14165,               0.080817,               0.036735,               0.061363,               0.035654,               0.016279,               0.063004,               0.009043,               0.009043,               0.009043
                     31,               0.054838,               0.048498,                0.03112,               0.059372,                0.41589,                0.15675,               0.085603,                0.03657,                0.42625,                0.15665,               0.087508,               0.039045,               0.061517,               0.034777,               0.015897,               0.062063,                0.00901,                0.00901,                0.00901
                     32,               0.054215,                0.04599,               0.030018,               0.058765,                0.30285,                0.16237,               0.088815,               0.040326,                0.35708,                0.15693,               0.084757,               0.037711,               0.062194,               0.037325,               0.016438,               0.063372,               0.008977,               0.008977,               0.008977
                     33,               0.054913,               0.046674,               0.030589,               0.058925,                0.31742,                0.17074,                0.11236,               0.048433,                0.32036,                0.17275,                0.10854,               0.051929,               0.062065,               0.034991,               0.015798,               0.061671,               0.008944,               0.008944,               0.008944
                     34,               0.053977,               0.046176,               0.032033,               0.058187,                0.24707,                0.16705,               0.096822,               0.044579,                 0.2447,                0.16009,               0.094556,               0.045238,               0.060403,               0.034487,               0.016442,               0.061682,               0.008911,               0.008911,               0.008911
                     35,               0.053598,               0.046644,               0.031138,               0.057262,                0.29905,                0.18187,                0.11604,               0.051286,                0.30743,                0.18237,                0.11348,               0.054471,                0.06029,               0.033452,               0.015671,               0.061379,               0.008878,               0.008878,               0.008878
                     36,               0.052405,               0.044006,               0.030879,               0.056156,                0.40198,                0.19582,                0.11717,               0.055948,                0.41644,                0.19192,                 0.1148,               0.058098,                0.06005,               0.033673,               0.015795,               0.060906,               0.008845,               0.008845,               0.008845
                     37,               0.052265,               0.045336,               0.030471,               0.055845,                0.36655,                 0.2029,                 0.1225,               0.059384,                0.37151,                0.20549,                 0.1232,                0.06154,               0.058431,               0.033179,               0.015918,               0.059174,               0.008812,               0.008812,               0.008812
                     38,               0.052432,                0.04458,                0.03003,               0.055561,                0.27936,                0.19402,                 0.1223,               0.060136,                0.28012,                0.19188,                0.11916,               0.058977,               0.058726,               0.033406,               0.015788,               0.059992,               0.008779,               0.008779,               0.008779
                     39,               0.051715,               0.044099,               0.029552,               0.055355,                0.28375,                0.20395,                0.11819,               0.057887,                 0.2856,                0.19767,                0.11646,               0.058472,               0.059894,               0.033519,               0.016289,               0.058958,               0.008746,               0.008746,               0.008746
                     40,               0.051034,               0.043574,               0.030401,               0.053673,                0.34646,                0.22849,                0.14437,               0.070437,                0.39644,                0.21829,                0.13841,               0.071016,               0.058843,               0.033098,               0.015902,               0.059705,               0.008713,               0.008713,               0.008713
                     41,               0.050483,               0.044179,                0.03119,               0.053523,                0.33429,                0.21275,                0.14414,               0.074247,                0.32535,                0.20612,                0.13734,               0.072077,               0.058028,               0.033646,               0.015604,               0.058592,                0.00868,                0.00868,                0.00868
                     42,               0.050771,               0.042508,               0.029801,               0.053723,                0.36778,                0.23602,                0.16018,               0.079491,                0.37639,                 0.2336,                0.15531,               0.077133,               0.057744,               0.032624,               0.015716,               0.057583,               0.008647,               0.008647,               0.008647
                     43,               0.050539,               0.042796,               0.029711,               0.053013,                0.31263,                 0.2564,                0.15994,               0.080095,                0.30347,                0.24794,                0.15663,               0.080215,               0.058363,                0.03271,               0.015409,               0.057921,               0.008614,               0.008614,               0.008614
                     44,               0.049575,               0.042746,               0.029391,               0.052392,                0.28365,                0.20947,                0.13067,               0.063053,                0.28882,                0.21024,                0.12994,               0.064674,               0.058661,               0.032689,               0.016243,               0.058409,               0.008581,               0.008581,               0.008581
                     45,               0.049895,               0.042663,               0.030137,               0.052314,                0.37132,                0.22187,                0.15409,               0.076812,                0.37464,                0.21919,                0.14961,               0.073906,               0.058735,               0.032619,               0.015647,               0.057716,               0.008548,               0.008548,               0.008548
                     46,               0.049222,                0.04223,               0.029649,               0.051627,                0.31182,                0.23765,                0.15655,               0.079692,                0.32052,                0.23251,                0.15621,               0.079865,               0.056297,                 0.0319,               0.015646,               0.056364,               0.008515,               0.008515,               0.008515
                     47,               0.050014,               0.042225,               0.029765,               0.051063,                0.27541,                0.24026,                0.14541,               0.071907,                0.27876,                0.23292,                0.14531,               0.072426,               0.057789,               0.032372,               0.015579,               0.057783,               0.008482,               0.008482,               0.008482
                     48,               0.048569,               0.041148,                0.02877,               0.050743,                 0.3056,                0.27417,                0.17482,               0.089839,                 0.3062,                0.27361,                0.17301,               0.088483,               0.056487,               0.031564,               0.015372,               0.056022,               0.008449,               0.008449,               0.008449
                     49,                0.04835,               0.040809,               0.029663,               0.049805,                0.29546,                0.27478,                0.18325,               0.092755,                0.29254,                0.26563,                0.17873,               0.092589,               0.055895,               0.031352,               0.015766,               0.055296,               0.008416,               0.008416,               0.008416
