                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     25,               0.047492,               0.032644,               0.025269,               0.037773,                0.25148,                0.29031,                 0.1941,               0.079779,                0.25831,                0.29465,                0.20298,               0.096515,               0.058444,               0.031213,               0.015121,               0.049665,               0.009208,               0.009208,               0.009208
                     26,               0.048163,                0.03286,               0.025415,               0.036912,                0.29926,                0.33498,                0.24435,                0.11654,                0.31654,                0.32802,                0.24354,                0.12528,               0.058334,               0.029734,                0.01382,               0.047668,               0.009175,               0.009175,               0.009175
                     27,               0.046419,               0.031989,               0.024889,               0.035349,                0.35132,                0.35854,                0.27718,                0.13043,                0.35213,                0.34832,                0.27987,                0.14641,               0.056612,               0.028042,               0.013868,               0.047921,               0.009142,               0.009142,               0.009142
                     28,               0.047811,               0.031217,               0.024451,               0.034458,                0.32469,                0.32424,                  0.246,                0.11745,                0.32118,                0.31641,                0.23913,                0.12451,               0.057967,               0.032667,                0.01434,               0.048649,               0.009109,               0.009109,               0.009109
                     29,               0.046992,               0.031241,               0.024577,               0.034076,                0.38913,                0.39985,                0.32788,                0.16477,                0.40197,                0.38879,                0.32888,                0.17835,               0.057438,               0.029626,               0.014107,               0.045208,               0.009076,               0.009076,               0.009076
                     30,               0.046752,               0.031628,               0.024176,               0.033813,                0.31435,                0.32209,                0.25094,                0.12172,                0.32172,                0.31485,                0.24781,                0.13359,                0.05945,               0.029901,               0.014054,               0.051983,               0.009043,               0.009043,               0.009043
                     31,               0.045352,               0.030712,               0.023811,               0.032458,                 0.3233,                0.30948,                0.24503,                0.11176,                0.32805,                0.30423,                0.24404,                0.12489,               0.058872,               0.029574,               0.014372,               0.046163,                0.00901,                0.00901,                0.00901
                     32,               0.046189,               0.030551,               0.023477,               0.031493,                0.37417,                0.34679,                0.29223,                0.14573,                0.38109,                 0.3469,                0.29106,                0.15741,               0.057699,               0.027979,               0.013862,               0.046711,               0.008977,               0.008977,               0.008977
                     33,               0.045184,               0.030144,               0.024614,               0.031303,                0.32333,                 0.3714,                0.26942,                0.13281,                0.33895,                0.36744,                0.27323,                0.14636,               0.056408,               0.027625,                0.01385,               0.046693,               0.008944,               0.008944,               0.008944
                     34,               0.044579,               0.030683,               0.023967,                0.02995,                0.32949,                0.30818,                0.24095,                0.11313,                0.32922,                0.29684,                0.23329,                0.11548,               0.060928,               0.035044,               0.014538,               0.050055,               0.008911,               0.008911,               0.008911
